5005
GAM - R^2 - 0,7377666514844183, RMSE - 8,780309174733377, Prediction - 22,741476
LightGBM - R^2 - 0,7571796848670819, RMSE - 8,449059287329241, Prediction - 22,317251
Poisson - R^2 - 0,6815221605620483, RMSE - 9,676213840659363, Prediction - 23,000252
SDCA - R^2 - 0,5760859511597743, RMSE - 11,163612497990167, Prediction - 25,453148
Fast Forest - R^2 - 0,7577221634390294, RMSE - 8,439616098010262, Prediction - 24,030397
FastTree - R^2 - 0,7311295170299068, RMSE - 8,890729806468208, Prediction - 23,517931
FTT - R^2 - 0,7459165144857849, RMSE - 8,64279212597859, Prediction - 23,495554

9777
GAM - R^2 - 0,7107979901917847, RMSE - 8,204200451791337, Prediction - 19,861912
LightGBM - R^2 - 0,76243586451305, RMSE - 7,4357717120519995, Prediction - 26,512564
Poisson - R^2 - 0,6861424398082573, RMSE - 8,546767830387815, Prediction - 22,615238
SDCA - R^2 - 0,5872178254801104, RMSE - 9,801579724941282, Prediction - 24,851408
Fast Forest - R^2 - 0,7607147613502072, RMSE - 7,462658418967482, Prediction - 18,218513
FastTree - R^2 - 0,7627780142544036, RMSE - 7,430415128934394, Prediction - 19,835485
FTT - R^2 - 0,7629159856408951, RMSE - 7,428254001703989, Prediction - 28,232004

13863
GAM - R^2 - 0,7040632847732975, RMSE - 7,551606342521226, Prediction - 19,886635
LightGBM - R^2 - 0,7676322239678344, RMSE - 6,69156758586222, Prediction - 28,935127
Poisson - R^2 - 0,6788476314916585, RMSE - 7,866752425353498, Prediction - 22,635824
SDCA - R^2 - 0,5866285120492054, RMSE - 8,925040121538544, Prediction - 25,018848
Fast Forest - R^2 - 0,7663970062223749, RMSE - 6,709329488564592, Prediction - 20,406685
FastTree - R^2 - 0,7771167787518989, RMSE - 6,553580010568453, Prediction - 27,460356
FTT - R^2 - 0,768064221370073, RMSE - 6,6853445099585445, Prediction - 24,017626

36826
GAM - R^2 - 0,7728685446967399, RMSE - 11,24857705413554, Prediction - 24,243427
LightGBM - R^2 - 0,8787824941991118, RMSE - 8,217536043761273, Prediction - 21,965433
Poisson - R^2 - 0,7099388537390612, RMSE - 12,71170264747821, Prediction - 21,787626
SDCA - R^2 - 0,6775769101325659, RMSE - 13,40207406426812, Prediction - 28,082563
Fast Forest - R^2 - 0,8463992178153759, RMSE - 9,250296629253128, Prediction - 24,171429
FastTree - R^2 - 0,8780883713817309, RMSE - 8,241030327501063, Prediction - 22,42641
FTT - R^2 - 0,8846187480606019, RMSE - 8,0172711004422, Prediction - 22,48556


R^2 - 0,7183823933124829, RMSE - 8,60135154129613, Prediction - 23,062054
R^2 - 0,7361302869991594, RMSE - 8,325907249287456, Prediction - 24,523245
R^2 - 0,6696654859990041, RMSE - 9,31566306247609, Prediction - 22,965551
R^2 - 0,5860930925067386, RMSE - 10,427690516910696, Prediction - 25,785772
R^2 - 0,7355173718285166, RMSE - 8,335571327237664, Prediction - 22,40555
R^2 - 0,7382827451401717, RMSE - 8,291879350747745, Prediction - 24,813694
R^2 - 0,7411360173353376, RMSE - 8,24655596159477, Prediction - 22,394735

R^2 - 0,7046697861653424, RMSE - 8,130209839827792, Prediction - 20,368814
